pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
11,"埼玉県",21992,"桶川","おけがわ","",35.998800,139.564042
11,"埼玉県",21993,"越生","おごせ","",35.962160,139.299344
11,"埼玉県",21994,"御花畑","おはなばたけ","",35.992431,139.083777
11,"埼玉県",21995,"男衾","おぶすま","",36.107310,139.234342
11,"埼玉県",21996,"小前田","おまえだ","",36.128919,139.222398
11,"埼玉県",21997,"親鼻","おやはな","",36.077617,139.106133
11,"埼玉県",21998,"折原","おりはら","",36.096310,139.195208
11,"埼玉県",21999,"影森","かげもり","",35.971989,139.068251
11,"埼玉県",22000,"籠原","かごはら","",36.174666,139.330526
11,"埼玉県",22001,"笠幡","かさはた","",35.907557,139.406476
11,"埼玉県",22002,"春日部","かすかべ","",35.979750,139.752361
11,"埼玉県",22003,"霞ケ関","かすみがせき","埼玉県",35.925612,139.443139
11,"埼玉県",22004,"加須","かぞ","",36.122981,139.595729
11,"埼玉県",22005,"金子","かねこ","",35.811038,139.328682
11,"埼玉県",22006,"上熊谷","かみくまがや","",36.142893,139.380801
11,"埼玉県",22007,"上長瀞","かみながとろ","",36.085977,139.113326
11,"埼玉県",22008,"上福岡","かみふくおか","",35.873896,139.511691
11,"埼玉県",22009,"加茂宮","かものみや","",35.935613,139.616652
11,"埼玉県",22010,"川角","かわかど","",35.937553,139.346841
11,"埼玉県",22011,"川口","かわぐち","",35.801880,139.717566
11,"埼玉県",29350,"川口元郷","かわぐちもとごう","",35.800158,139.730121
11,"埼玉県",22012,"川越","かわごえ","",35.906975,139.482915
11,"埼玉県",22013,"川越市","かわごえし","",35.914141,139.477387
11,"埼玉県",22014,"蒲生","がもう","",35.867013,139.791641
11,"埼玉県",22015,"北上尾","きたあげお","",35.985635,139.577236
11,"埼玉県",22016,"北朝霞","きたあさか","",35.815403,139.587188
11,"埼玉県",22017,"北浦和","きたうらわ","",35.872149,139.646208
11,"埼玉県",22018,"北大宮","きたおおみや","",35.917143,139.624735
11,"埼玉県",22019,"北春日部","きたかすかべ","",35.990637,139.744000
11,"埼玉県",22020,"北鴻巣","きたこうのす","",36.085567,139.477046
11,"埼玉県",22021,"北越谷","きたこしがや","",35.902036,139.779917
11,"埼玉県",22022,"北坂戸","きたさかど","",35.972189,139.396808
11,"埼玉県",22023,"北戸田","きたとだ","",35.827515,139.660237
11,"埼玉県",22024,"北本","きたもと","",36.031601,139.533988
11,"埼玉県",22025,"北与野","きたよの","",35.890813,139.628680
11,"埼玉県",22026,"行田","ぎょうだ","",36.113869,139.432270
11,"埼玉県",22027,"行田市","ぎょうだし","",36.143699,139.458878
11,"埼玉県",22028,"久喜","くき","",36.065684,139.677614
11,"埼玉県",22029,"熊谷","くまがや","",36.139699,139.389912
11,"埼玉県",22030,"栗橋","くりはし","",36.136788,139.694219
11,"埼玉県",22032,"航空公園","こうくうこうえん","",35.798459,139.465560
11,"埼玉県",22033,"鴻巣","こうのす","",36.059237,139.509655
11,"埼玉県",22034,"越谷","こしがや","",35.888260,139.786057
11,"埼玉県",29601,"越谷レイクタウン","こしがやれいくたうん","",35.876290,139.822194
11,"埼玉県",22035,"児玉","こだま","",36.192633,139.135847
11,"埼玉県",22036,"小手指","こてさし","",35.800569,139.438006
11,"埼玉県",22037,"高麗","こま","",35.881752,139.304430
11,"埼玉県",22038,"高麗川","こまがわ","",35.896279,139.337954
11,"埼玉県",22039,"今羽","こんば","",35.950056,139.619540
11,"埼玉県",29315,"さいたま新都心","さいたましんとしん","",35.893840,139.633569
11,"埼玉県",22041,"坂戸","さかど","埼玉県",35.957080,139.393947
