station_name,ek
戸田公園,39526170
戸部,9526340
湖北,52515220
虎ノ門,1026650
虎ノ門ヒルズ,2084580
五井,63013840
五月台,25016350
五香,53514750
五反田,5514970
五反野,44014980
五百羅漢,73563815
後楽園,5014430
御花畑,49007130
御宿,61007420
御成門,6007040
御茶ノ水,1506970
御徒町,12506530
御嶽山,20007440
護国寺,4014760
光が丘,7032620
光風台,63014340
公園,54513920
公園上,26282520
公津の杜,55514180
厚木,24501050
向ヶ丘遊園,24038610
向河原,18538590
向原,8538630
幸浦,14016340
幸手,47016370
幸谷,52014380
広瀬川原,49053972
広尾,2033410
庚申塚,8514060
弘明寺,17012920
江ノ島,15005010
江古田,37004830
江戸川,55504920
江戸川橋,4004940
江戸川台,49504930
江田,23004880
江北,76580819
港町,10537240
港南台,13014260
港南中央,17014270
溝の口,23036850
甲州街道,30014050
綱島,22024880
航空公園,35013970
荒川一中前,8550070
荒川区役所前,8501470
荒川七丁目,8501490
荒川車庫前,8501480
荒川二丁目,8501500
荒川遊園地前,8501510
行田,758511960
行田市,49011970
行徳,2512030
香取,60508620
香川,19507580
高井戸,26522170
高円寺,57313930
高根公団,53522480
高根木戸,53522470
高座渋谷,25513980
高坂,38522230
高松,30022550
高滝,63022320
高津,23022390
高田,77080829
高田馬場,35022350
高島町,17022290
高島平,6022280
高幡不動,30022520
高尾,29522180
高尾山口,29522210
高野,76580818
高柳,49522610
高輪ゲートウェイ,12584570
高輪台,5522460
高麗,37015240
高麗川,34015280
鴻巣,758514300
豪徳寺,24014220
麹町,4014020
国会議事堂前,3015020
国際展示場,9014660
国道,13514680
国府台,55514310
国府津,758514160
国分寺,31514690
国立,30512780
国立競技場,7014730
国領,28014740
鵠沼,15012500
鵠沼海岸,25512510
黒川,25013140
腰越,15014830
狛江,24015260
今羽,42515590
根岸,13029850
根津,3029860
根府川,16029870
佐原,60516650
佐倉,58516030
砂川七番,30020760
座間,24516490
坂戸,39015870
阪東橋,17031470
鷺ノ宮,35015990
鷺沼,23015980
作草部,59516010
桜ヶ丘,25516070
桜街道,30016060
桜上水,28016130
桜新町,23016140
桜台,37016150
桜沢,49016110
桜木,59516090
桜木町,17016100
笹川,52516250
笹塚,28016280
雑司が谷,4380845
雑色,9521660
鮫洲,9516530
三ツ境,17536970
三ツ沢下町,17037010
三ツ沢上町,17037000
三ノ輪,2038130
三ノ輪橋,8538140
三浦海岸,11536260
三越前,4536980
三河島,50036460
三郷,33536710
三郷中央,76076105
三軒茶屋,23516720
三咲,53536660
三崎口,11536680
三鷹,57336880
三鷹台,26536890
三田,6036860
三門,61036310
参宮橋,24016710
山下,23540270
山手,13040360
山田,29540320
山北,16540230
産業振興センター,14016690
四ツ谷,5041160
四ツ木,54041140
四街道,58541130
四谷三丁目,1541170
姉ヶ崎,62501140
子安,9515450
市が尾,23002970
市ヶ谷,6502980
市場前,7580000
市川,58002990
市川塩浜,60003010
市川真間,55503020
市川大野,33503000
市大医学部,14017360
市役所前,59518380
志久,42517240
志村坂上,6017790
志村三丁目,6017800
志津,55517410
志茂,5017810
志木,38517200
指扇,40016330
児玉,34014960
持田,49039210
自由が丘,21518410
蒔田,17035520
汐入,9517030
汐留,7553930
鹿島田,18507950
七光台,49527830
七里,49527840
七里ヶ浜,15017400
実籾,55538200
篠崎,6517480
柴崎,28017580
柴崎体育館,30017590
