pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
14,"神奈川県",23055,"愛甲石田","あいこういしだ","",35.417664,139.344087
14,"神奈川県",23056,"青葉台","あおばだい","",35.542931,139.517178
14,"神奈川県",23057,"浅野","あさの","",35.497467,139.696054
14,"神奈川県",23058,"あざみ野","あざみの","",35.568707,139.553535
14,"神奈川県",23059,"足柄","あしがら","神奈川県",35.272204,139.154526
14,"神奈川県",23060,"厚木","あつぎ","",35.443301,139.378444
14,"神奈川県",23061,"穴部","あなべ","",35.279842,139.148887
14,"神奈川県",23062,"安針塚","あんじんづか","",35.286739,139.642957
14,"神奈川県",23063,"安善","あんぜん","",35.499661,139.701249
14,"神奈川県",23064,"飯田岡","いいだおか","",35.287813,139.139333
14,"神奈川県",23065,"生田","いくた","神奈川県",35.615007,139.542340
14,"神奈川県",23066,"井細田","いさいだ","",35.269149,139.157471
14,"神奈川県",23067,"石川町","いしかわちょう","",35.438222,139.643173
14,"神奈川県",23068,"石上","いしがみ","",35.332481,139.485580
14,"神奈川県",23069,"いずみ中央","いずみちゅうおう","",35.415500,139.487104
14,"神奈川県",23070,"いずみ野","いずみの","",35.429416,139.495213
14,"神奈川県",23071,"伊勢佐木長者町","いせざきちょうじゃまち","",35.441000,139.632618
14,"神奈川県",23072,"伊勢原","いせはら","",35.396027,139.313508
14,"神奈川県",23073,"磯子","いそご","",35.399865,139.617927
14,"神奈川県",23074,"市が尾","いちがお","",35.551431,139.541454
14,"神奈川県",23075,"井土ケ谷","いどがや","",35.433917,139.600926
14,"神奈川県",23076,"稲田堤","いなだづつみ","",35.633645,139.535256
14,"神奈川県",23077,"稲村ケ崎","いなむらがさき","",35.304262,139.522245
14,"神奈川県",23078,"入生田","いりうだ","",35.240679,139.121031
14,"神奈川県",23079,"入谷","いりや","神奈川県",35.478520,139.391831
14,"神奈川県",23080,"岩原","いわはら","",35.298756,139.128888
14,"神奈川県",29734,"姥子","うばこ","",35.244537,139.005984
14,"神奈川県",23081,"海芝浦","うみしばうら","",35.485886,139.700249
14,"神奈川県",23082,"海の公園柴口","うみのこうえんしばぐち","",35.342093,139.635900
14,"神奈川県",23083,"海の公園南口","うみのこうえんみなみぐち","",35.337206,139.632151
14,"神奈川県",23084,"浦賀","うらが","",35.251910,139.715091
14,"神奈川県",23085,"江田","えだ","神奈川県",35.558625,139.551508
14,"神奈川県",23086,"江ノ島","えのしま","",35.310983,139.487581
14,"神奈川県",23087,"海老名","えびな","相模線",35.454217,139.389359
14,"神奈川県",23088,"海老名","えびな","相鉄・小田急",35.452689,139.390915
14,"神奈川県",23090,"扇町","おうぎまち","神奈川県",35.501356,139.722413
14,"神奈川県",23091,"大磯","おおいそ","",35.311202,139.313512
14,"神奈川県",23092,"大川","おおかわ","",35.495523,139.711109
14,"神奈川県",23093,"大倉山","おおくらやま","神奈川県",35.521992,139.629865
14,"神奈川県",23094,"大口","おおぐち","",35.492134,139.646142
14,"神奈川県",23095,"大平台","おおひらだい","",35.238622,139.073952
14,"神奈川県",23096,"大船","おおふな","",35.353813,139.531241
14,"神奈川県",29733,"大涌谷","おおわくだに","",35.244315,139.019984
14,"神奈川県",23097,"小田急相模原","おだきゅうさがみはら","",35.515127,139.422604
14,"神奈川県",29768,"小田栄","おださかえ","",35.514418,139.705080
14,"神奈川県",23098,"小田原","おだわら","",35.256400,139.154916
14,"神奈川県",23089,"追浜","おっぱま","",35.315707,139.624902
14,"神奈川県",29289,"踊場","おどりば","",35.405891,139.518156
14,"神奈川県",29314,"恩田","おんだ","",35.545569,139.492097
14,"神奈川県",23099,"開成","かいせい","",35.326253,139.135914
14,"神奈川県",23100,"香川","かがわ","",35.356477,139.399780
14,"神奈川県",23101,"柿生","かきお","",35.589815,139.497955
14,"神奈川県",23102,"花月園前","かげつえんまえ","",35.500383,139.673028
14,"神奈川県",23103,"風祭","かざまつり","",35.246206,139.129196
14,"神奈川県",23104,"鹿島田","かしまだ","",35.551322,139.675165
14,"神奈川県",23105,"かしわ台","かしわだい","",35.466798,139.416107
14,"神奈川県",23106,"梶が谷","かじがや","",35.593789,139.605697
14,"神奈川県",23107,"片倉町","かたくらちょう","",35.490189,139.606535
14,"神奈川県",23108,"片瀬江ノ島","かたせえのしま","",35.308789,139.483498
14,"神奈川県",23109,"片瀬山","かたせやま","",35.317344,139.496301
14,"神奈川県",23110,"門沢橋","かどさわばし","",35.406583,139.380196
14,"神奈川県",23111,"神奈川","かながわ","",35.470968,139.627090
14,"神奈川県",23112,"神奈川新町","かながわしんまち","",35.481468,139.640060
14,"神奈川県",23113,"金沢八景","かなざわはっけい","京急線",35.331234,139.620124
14,"神奈川県",23114,"金沢八景","かなざわはっけい","横浜シーサイドライン",35.331206,139.622457
14,"神奈川県",23115,"金沢文庫","かなざわぶんこ","",35.342955,139.621651
14,"神奈川県",23116,"鎌倉","かまくら","",35.319095,139.550436
14,"神奈川県",23117,"鎌倉高校前","かまくらこうこうまえ","",35.306735,139.500413
14,"神奈川県",23118,"上大井","かみおおい","",35.321866,139.163635
14,"神奈川県",23119,"上大岡","かみおおおか","",35.409197,139.596595
14,"神奈川県",29731,"上強羅","かみごうら","",35.247260,139.038093
14,"神奈川県",23120,"上永谷","かみながや","",35.401448,139.573097
14,"神奈川県",23121,"上星川","かみほしかわ","",35.467246,139.580509
14,"神奈川県",23122,"上溝","かみみぞ","",35.557649,139.363301
14,"神奈川県",23123,"鴨居","かもい","",35.510881,139.567093
14,"神奈川県",23124,"鴨宮","かものみや","",35.275815,139.180218
14,"神奈川県",23125,"栢山","かやま","",35.310339,139.142720
14,"神奈川県",23126,"川崎","かわさき","",35.531408,139.696886
14,"神奈川県",23127,"川崎新町","かわさきしんまち","",35.518131,139.699247
14,"神奈川県",23128,"川崎大師","かわさきだいし","",35.535714,139.725994
14,"神奈川県",29629,"川和町","かわわちょう","",35.528517,139.549316
14,"神奈川県",23129,"関内","かんない","",35.445638,139.635951
14,"神奈川県",23130,"菊名","きくな","",35.509798,139.631337
14,"神奈川県",23131,"岸根公園","きしねこうえん","",35.495744,139.616812
14,"神奈川県",23132,"北鎌倉","きたかまくら","",35.337176,139.545158
14,"神奈川県",23133,"北久里浜","きたくりはま","",35.249105,139.686344
14,"神奈川県",23213,"北新横浜","きたしんよこはま","",35.519075,139.612922
14,"神奈川県",23134,"北茅ケ崎","きたちがさき","",35.339118,139.407613
14,"神奈川県",29631,"北山田","きたやまた","神奈川県",35.561014,139.592644
14,"神奈川県",23135,"衣笠","きぬがさ","",35.257353,139.661374
14,"神奈川県",23136,"希望ケ丘","きぼうがおか","",35.460357,139.513710
14,"神奈川県",23137,"鵠沼","くげぬま","",35.321482,139.482719
14,"神奈川県",23138,"鵠沼海岸","くげぬまかいがん","",35.320704,139.471081
14,"神奈川県",23139,"久地","くじ","",35.610536,139.592558
