station_name,ek
地下鉄赤塚,004004750
地下鉄成増,004004760
渋谷,004517640
表参道,004507240
青山一丁目,004500250
永田町,004527210
半蔵門,004531420
九段下,004512720
神保町,004520210
大手町,004506050
三越前,004536980
水天宮前,004520460
清澄白河,004550050
住吉,004520870
錦糸町,004553960
押上,004506820
目黒,005039110
白金台,005018930
白金高輪,005018940
麻布十番,005000800
六本木一丁目,005041570
溜池山王,005023660
永田町,005027210
四ツ谷,005041160
市ヶ谷,005002980
飯田橋,005001820
後楽園,005014430
東大前,005025730
本駒込,005035370
駒込,005015330
西ヶ原,005028560
王子,005005180
王子神谷,005005830
志茂,005017810
赤羽岩淵,005000390
渋谷,004317640
明治神宮前,004339010
北参道,004380835
新宿三丁目,004319690
東新宿,004350015
西早稲田,004380840
雑司が谷,004380845
池袋,004302060
要町,004308710
千川,004321350
小竹向原,004314950
氷川台,004332630
平和台,004334660
地下鉄赤塚,004304750
地下鉄成増,004304760
小竹向原,003514950
新桜台,003519600
練馬,003529900
西武新宿,035021050
高田馬場,035022350
下落合,035017990
中井,035026830
新井薬師前,035001440
沼袋,035029830
野方,035029980
都立家政,035026720
鷺ノ宮,035015990
下井草,035017860
井荻,035001870
上井草,035009040
上石神井,035009200
武蔵関,035038780
東伏見,035032310
西武柳沢,035021080
田無,035023300
花小金井,035030900
小平,035014930
久米川,035012930
東村山,035032490
池袋,037002060
椎名町,037016970
東長崎,037032100
江古田,037004830
桜台,037016150
練馬,037029900
中村橋,037027570
富士見台,037034040
練馬高野台,037029920
石神井公園,037018350
大泉学園,037005440
保谷,037034910
ひばりヶ丘,037033000
東久留米,037031890
清瀬,037012120
秋津,037000470
小平,035514930
萩山,035530230
小川,035506610
東大和市,035532550
玉川上水,035523470
武蔵砂川,035538770
西武立川,035521060
拝島,035530150
多摩湖,036521090
国分寺,032014690
恋ヶ窪,032013850
鷹の台,032022490
小川,032006610
東村山,032032490
武蔵境,031038740
新小金井,031019510
多磨,031023590
白糸台,031011360
競艇場前,031011990
是政,031015520
国分寺,031514690
一橋学園,031532880
青梅街道,031505350
萩山,031530230
八坂,031539850
武蔵大和,031538870
多摩湖,031521090
西武園,034521030
豊島園,037526130
池袋,038502060
北池袋,038510930
下板橋,038517890
大山,038506420
中板橋,038526860
ときわ台,038525970
上板橋,038509050
東武練馬,038525870
下赤塚,038517820
成増,038528040
浅草,044000670
とうきょうスカイツリー,044028030
押上,044006820
曳舟,044032640
東向島,044032480
鐘ヶ淵,044008770
堀切,044035200
牛田,044004220
北千住,044011310
小菅,044014900
五反野,044014980
梅島,044004630
西新井,044028310
竹ノ塚,044022940
曳舟,044532640
小村井,044507200
東あずま,044531570
亀戸水神,044509510
亀戸,044509500
西新井,045028310
大師前,045021910
渋谷,022017640
代官山,022021850
中目黒,022027580
祐天寺,022040640
学芸大学,022007660
都立大学,022026730
自由が丘,022018410
田園調布,022025320
多摩川,022023450
渋谷,023017640
池尻大橋,023002000
三軒茶屋,023016720
駒沢大学,023015340
桜新町,023016140
用賀,023040800
二子玉川,023034230
つくし野,023024700
すずかけ台,023020660
南町田グランベリーパーク,023037790
五反田,020014970
大崎広小路,020005790
戸越銀座,020026090
荏原中延,020005020
旗の台,020030650
長原,020027430
洗足池,020021480
石川台,020002180
雪が谷大塚,020040690
御嶽山,020007440
久が原,020012440
千鳥町,020024160
池上,020001970
蓮沼,020030530
蒲田,020008940
目黒,020539110
不動前,020534410
武蔵小山,020538730
西小山,020528780
洗足,020521470
大岡山,020505520
奥沢,020506660
田園調布,020525320
多摩川,020523450
多摩川,021023450
沼部,021029840
鵜の木,021004470
下丸子,021018280
武蔵新田,021038810
矢口渡,021039810
蒲田,021008940
大井町,021505480
下神明,021518100
戸越公園,021526100
中延,021527370
荏原町,021505030
旗の台,021530650
北千束,021511320
大岡山,021505520
緑が丘,021537110
自由が丘,021518410
九品仏,021512830
尾山台,021507280
等々力,021526240
上野毛,021509280
二子玉川,021534230
三軒茶屋,023516720
西太子堂,023528990
若林,023541620
松陰神社前,023518530
世田谷,023521210
上町,023509410
宮の坂,023538270
山下,023540270
松原,023536030
下高井戸,023518140
西馬込,005529410
馬込,005535690
中延,005527370
戸越,005526080
五反田,005514970
高輪台,005522460
泉岳寺,005521340
三田,005536860
大門,005522090
新橋,005520110
東銀座,005531870
宝町,005522650
日本橋,005529710
人形町,005529780
東日本橋,005532170
浅草橋,005500680
蔵前,005513010
浅草,005500670
本所吾妻橋,005535380
押上,005506820
目黒,006039110
白金台,006018930
白金高輪,006018940
三田,006036860
芝公園,006017570
御成門,006007040
内幸町,006004290
日比谷,006033040
大手町,006006050
神保町,006020210
水道橋,006020470
春日,006008030
白山,006030270
千石,006021410
巣鴨,006020550
西巣鴨,006028890
新板橋,006019040
板橋区役所前,006002900
板橋本町,006002910
本蓮沼,006039290
志村坂上,006017790
志村三丁目,006017800
蓮根,006030540
西台,006028980
高島平,006022280
新高島平,006019810
西高島平,006029010
新宿,006519670
新宿三丁目,006519690
曙橋,006500590
市ヶ谷,006502980
九段下,006512720
神保町,006520210
小川町,006506620
岩本町,006503950
馬喰横山,006530340
浜町,006531100
森下,006539490
菊川,006510690
住吉,006520870
西大島,006528430
大島,006505850
東大島,006531700
船堀,006534520
一之江,006503060
瑞江,006536730
篠崎,006517480
新宿西口,007050010
東新宿,007050015
若松河田,007050020
牛込柳町,007050025
牛込神楽坂,007050030
飯田橋,007001820
春日,007008030
本郷三丁目,007035340
上野御徒町,007050035
新御徒町,007050040
蔵前,007013010
両国,007050045
森下,007039490
清澄白河,007050050
門前仲町,007039600
月島,007024650
勝どき,007050055
築地市場,007050060
汐留,007053930
大門,007022090
赤羽橋,007050065
麻布十番,007000800
六本木,007041560
青山一丁目,007000250
国立競技場,007014730
代々木,007041280
新宿,007019670
都庁前,007026200
西新宿五丁目,007028870
中野坂上,007027320
東中野,007032110
中井,007026830
落合南長崎,007006960
新江古田,007019110
練馬,007029900
豊島園,007026130
練馬春日町,007029910
光が丘,007032620
早稲田,008541740
面影橋,008507220
学習院下,008507670
鬼子母神前,008510820
都電雑司ヶ谷,008521650
東池袋四丁目,008531610
向原,008538630
大塚駅前,008506020
巣鴨新田,008520560
庚申塚,008514060
新庚申塚,008519480
西ヶ原四丁目,008528570
滝野川一丁目,008522780
飛鳥山,008500980
王子駅前,008505200
栄町,008515770
梶原,008508010
荒川車庫前,008501480
荒川遊園地前,008501510
小台,008506850
宮ノ前,008538320
熊野前,008512890
東尾久三丁目,008531740
町屋二丁目,008535810
町屋駅前,008535800
荒川七丁目,008501490
荒川二丁目,008501500
荒川区役所前,008501470
荒川一中前,008550070
三ノ輪橋,008538140
日暮里,076529650
西日暮里,076529160
赤土小学校前,076580815
熊野前,076512890
足立小台,076580816
扇大橋,076580817
高野,076580818
江北,076580819
西新井大師西,076580820
谷在家,076580821
舎人公園,076580822
舎人,076580823
見沼代親水公園,076580824
渋谷,026517640
神泉,026519790
駒場東大前,026515370
池ノ上,026502030
下北沢,026518010
新代田,026519800
東松原,026532410
明大前,026539030
永福町,026504780
西永福,026528380
浜田山,026531090
高井戸,026522170
富士見ヶ丘,026534030
久我山,026512460
三鷹台,026536890
井の頭公園,026503510
吉祥寺,026511640
東府中,027032330
府中競馬正門前,027034350
新宿,027519670
初台,027530800
幡ヶ谷,027530610
新宿,028019670
笹塚,028016280
代田橋,028021960
明大前,028039030
下高井戸,028018140
桜上水,028016130
上北沢,028009130
八幡山,028030710
芦花公園,028041450
千歳烏山,028024130
仙川,028021360
つつじヶ丘,028024850
柴崎,028017580
国領,028014740
布田,028034190
調布,028024440
西調布,028029060
飛田給,028026310
武蔵野台,028038820
多磨霊園,028023640
東府中,028032330
府中,028034340
分倍河原,028034560
中河原,028027000
聖蹟桜ヶ丘,028021020
百草園,028039160
高幡不動,028022520
南平,028037620
平山城址公園,028033390
長沼,028027270
北野,028011420
京王八王子,028013370
多摩動物公園,028523550
調布,029024440
京王多摩川,029013340
京王よみうりランド,029013390
稲城,029003230
京王永山,029013360
京王多摩センター,029013350
京王堀之内,029013380
南大沢,029037360
多摩境,029023480
北野,029511420
京王片倉,029513330
山田,029540320
めじろ台,029539130
狭間,029530430
高尾,029522180
高尾山口,029522210
青砥,054000190
京成立石,054013610
四ツ木,054041140
八広,054040170
京成曳舟,054013670
押上,054006820
京成高砂,055013600
柴又,055017620
京成金町,055013550
京成上野,055513510
日暮里,055529650
新三河島,055520290
町屋,055535790
千住大橋,055521440
京成関屋,055513590
堀切菖蒲園,055535210
お花茶屋,055507120
青砥,055500190
京成高砂,055513600
京成小岩,055513560
江戸川,055504920
泉岳寺,009521340
品川,009517460
北品川,009511210
新馬場,009520140
青物横丁,009500240
鮫洲,009516530
立会川,009523090
大森海岸,009506380
平和島,009534650
大森町,009506400
梅屋敷,009504660
京急蒲田,009513410
雑色,009521660
六郷土手,009541470
京急蒲田,010013410
糀谷,010014030
大鳥居,010006110
穴守稲荷,010001130
天空橋,010025350
羽田空港第１・第２ターミナル,010075910
新宿,024019670
南新宿,024037560
参宮橋,024016710
代々木八幡,024041310
代々木上原,024041290
東北沢,024031840
下北沢,024018010
世田谷代田,024021220
梅ヶ丘,024004590
豪徳寺,024014220
経堂,024012020
千歳船橋,024024140
祖師ヶ谷大蔵,024021760
成城学園前,024020990
喜多見,024011580
狛江,024015260
和泉多摩川,024002510
鶴川,024024990
玉川学園前,024023460
町田,024035780
小田急永山,025006890
小田急多摩センター,025006880
唐木田,025009710
多摩センター,030023490
松が谷,030035880
大塚・帝京大学,030006010
中央大学・明星大学,030024320
多摩動物公園,030023550
程久保,030035160
高幡不動,030022520
万願寺,030036220
甲州街道,030014050
柴崎体育館,030017590
立川南,030023120
立川北,030023110
高松,030022550
立飛,030023150
泉体育館,030002500
砂川七番,030020760
玉川上水,030023470
桜街道,030016060
上北台,030009140
新木場,009019330
東雲,009017510
国際展示場,009014660
東京テレポート,009025630
天王洲アイル,009025440
品川シーサイド,009053940
大井町,009005480
大崎,009005780
京成高砂,056013600
新柴又,056019660
浜松町,008031160
天王洲アイル,008025440
大井競馬場前,008005410
流通センター,008041350
昭和島,008018760
整備場,008031030
天空橋,008025350
新整備場,008019760
新橋,007520110
汐留,007553930
竹芝,007522890
日の出,007532960
芝浦ふ頭,007517560
お台場海浜公園,007506860
台場,007522030
東京国際クルーズターミナル,007534550
テレコムセンター,007525310
青海,007500230
有明,007501580
有明テニスの森,007579995
市場前,007580000
新豊洲,007580005
豊洲,007526540
赤羽岩淵,064000390
秋葉原,076000480
新御徒町,076050040
浅草,076076085
南千住,076037600
北千住,076011310
青井,076076090
六町,076076095
京成上野,056313510
日暮里,056329650
青砥,056300190
京成高砂,056313600
二子新地,021534220
高津,021522390
溝の口,021536850
新丸子,022020280
武蔵小杉,022038720
元住吉,022039270
日吉,022033150
綱島,022024880
大倉山,022005650
菊名,022010720
妙蓮寺,022038540
白楽,022030290
東白楽,022032210
反町,022023830
横浜,022040940
二子新地,023034220
高津,023022390
溝の口,023036850
梶が谷,023007890
宮崎台,023038250
宮前平,023038350
鷺沼,023015980
たまプラーザ,023023580
あざみ野,023000820
江田,023004880
市が尾,023002970
藤が丘,023033850
青葉台,023000210
田奈,023023250
長津田,023027240
つきみ野,023024660
中央林間,023024340
長津田,022527240
恩田,022507430
こどもの国,022515110
新丸子,020520280
武蔵小杉,020538720
元住吉,020539270
日吉,020533150
武蔵小杉,012038720
新川崎,012019290
横浜,012040940
保土ヶ谷,012035150
東戸塚,012032070
戸塚,012026210
大船,012006240
北鎌倉,012011100
鎌倉,012008890
逗子,012020640
東逗子,012031980
田浦,012022120
横須賀,012040890
衣笠,012011700
久里浜,012013050
川崎,012509920
鶴見,012525070
新子安,012519550
東神奈川,012531790
横浜,012540940
桜木町,012516100
関内,012510300
石川町,012502190
山手,012540360
根岸,012529850
磯子,012502800
新杉田,012519740
洋光台,012540830
港南台,012514260
本郷台,012535350
大船,012506240
横浜,013040940
桜木町,013016100
関内,013010300
石川町,013002190
山手,013040360
根岸,013029850
磯子,013002800
新杉田,013019740
洋光台,013040830
港南台,013014260
本郷台,013035350
大船,013006240
鶴見,013525070
国道,013514680
鶴見小野,013525090
弁天橋,013534790
浅野,013500730
安善,013501760
武蔵白石,013538750
浜川崎,013531070
昭和,013518750
扇町,013505170
川崎,016009920
横浜,016040940
戸塚,016026210
大船,016006240
藤沢,016033900
辻堂,016024740
茅ヶ崎,016023840
平塚,016033280
大磯,016005460
二宮,016029690
国府津,016014160
鴨宮,016009660
小田原,016006930
早川,016031190
根府川,016029870
真鶴,016036110
湯河原,016040680
山北,016540230
東山北,016532530
松田,016535950
相模金子,016515930
上大井,016509080
下曽我,016518110
国府津,016514160
川崎,018509920
尻手,018517430
八丁畷,018530810
川崎新町,018509930
小田栄,018584015
浜川崎,018531070
矢向,018539830
鹿島田,018507950
平間,018533360
向河原,018538590
武蔵小杉,018538720
武蔵中原,018538800
武蔵新城,018538760
武蔵溝ノ口,018538860
津田山,018524790
久地,018512560
宿河原,018518510
登戸,018530130
中野島,018527340
稲田堤,018503300
東神奈川,019031790
大口,019005590
菊名,019010720
新横浜,019020390
小机,019015030
鴨居,019009590
中山,019027620
十日市場,019025590
長津田,019027240
古淵,019015200
淵野辺,019034330
矢部,019040190
相模原,019015960
橋本,019030490
茅ヶ崎,019523840
北茅ヶ崎,019511370
香川,019507580
寒川,019516510
宮山,019538390
倉見,019513030
門沢橋,019508580
社家,019518400
厚木,019501050
海老名,019505090
入谷,019503750
相武台下,019521720
下溝,019518290
原当麻,019531260
番田,019531440
上溝,019509430
南橋本,019537690
橋本,019530490
相模湖,030515940
藤野,030533950
武蔵小杉,758038720
新川崎,758019290
横浜,758040940
保土ヶ谷,758035150
東戸塚,758032070
戸塚,758026210
大船,758006240
北鎌倉,758011100
鎌倉,758008890
逗子,758020640
武蔵小杉,758538720
横浜,758540940
戸塚,758526210
大船,758506240
藤沢,758533900
辻堂,758524740
茅ヶ崎,758523840
平塚,758533280
大磯,758505460
二宮,758529690
国府津,758514160
鴨宮,758509660
小田原,758506930
新横浜,015520390
小田原,015506930
羽沢横浜国大,039584040
武蔵小杉,039538720
京王稲田堤,029013320
若葉台,029041610
橋本,029030490
京急川崎,009513420
八丁畷,009530810
鶴見市場,009525080
京急鶴見,009513460
花月総持寺,009507720
生麦,009527900
京急新子安,009513440
子安,009515450
神奈川新町,009508640
京急東神奈川,009527020
神奈川,009508630
横浜,009540940
戸部,009526340
日ノ出町,009532970
黄金町,009514570
南太田,009537370
井土ヶ谷,009503190
弘明寺,009512910
上大岡,009509090
屏風浦,009533140
杉田,009520580
京急富岡,009513470
能見台,009529940
金沢文庫,009508660
金沢八景,009508650
追浜,009506990
京急田浦,009513450
安針塚,009501750
逸見,009534760
汐入,009517030
横須賀中央,009540900
県立大学,009513490
堀ノ内,009535240
京急大津,009513400
馬堀海岸,009536130
浦賀,009504680
京急川崎,010513420
港町,010537240
鈴木町,010520680
川崎大師,010509940
東門前,010532510
大師橋,010516700
小島新田,010514860
金沢八景,011008650
六浦,011038930
神武寺,011020310
逗子・葉山,011019750
堀ノ内,011535240
新大津,011519150
北久里浜,011511120
京急久里浜,011513430
ＹＲＰ野比,011541580
京急長沢,011513480
津久井浜,011524690
三浦海岸,011536260
三崎口,011536680
登戸,024030130
向ヶ丘遊園,024038610
生田,024001950
読売ランド前,024041270
百合ヶ丘,024040770
新百合ヶ丘,024020370
柿生,024007590
相模大野,024015920
相模大野,024515920
小田急相模原,024506870
相武台前,024521730
座間,024516490
海老名,024505090
厚木,024501050
本厚木,024535270
愛甲石田,024500050
伊勢原,024502750
鶴巻温泉,024525060
東海大学前,024525580
秦野,024530640
渋沢,024517630
新松田,024520260
開成,024507480
栢山,024509690
富水,024526410
螢田,024535090
足柄,024553910
小田原,024506930
新百合ヶ丘,025020370
五月台,025016350
栗平,025013060
黒川,025013140
はるひ野,025075895
相模大野,025515920
東林間,025532590
中央林間,025524340
南林間,025537850
鶴間,025525040
大和,025540370
桜ヶ丘,025516070
高座渋谷,025513980
長後,025524390
湘南台,025518670
六会日大前,025538920
善行,025521370
藤沢本町,025533910
藤沢,025533900
本鵠沼,025535300
鵠沼海岸,025512510
片瀬江ノ島,025508400
横浜,017540940
平沼橋,017533310
西横浜,017529560
天王町,017525460
星川,017534990
和田町,017541790
上星川,017509360
西谷,017529450
鶴ヶ峰,017524980
二俣川,017534270
希望ヶ丘,017511810
三ツ境,017536970
瀬谷,017521310
大和,017540370
相模大塚,017515910
さがみ野,017515950
かしわ台,017507980
海老名,017505090
二俣川,018034270
南万騎が原,018037780
緑園都市,018041390
弥生台,018040540
いずみ野,018002550
いずみ中央,018002520
